font1
15  7 31 25 20 23 21  7 11 10 26 14  6 12  6 26
20  7 20 20 21 20 20 19 21 20  8 30 24 30 24 19
20 22 22 21 22 18 18 22 22  9 14 21 18 27 21 24
22 22 23 20 19 23 22 31 23 23 21 25 13 30  7 19
10 17 17 16 17 17 11 17 17  7  7 18  7 25 17 17
17 17 11 17 11 17 18 25 19 18 17 28 26 20 15 15
20 20 20 20 29 22 19 19 19 19  9  9  9  9 23 23
23 23 24 24 24 24 20 19 17 17 17 30 16 17 17 17
17 11 11 15 12 17 17 17 17 17 17 17 17 21 17 19
20 18 19 19 21 19 19 19 19 19 16 19 19 19 20 19
16 19 19  9 19 20 14 29 19 19 19 19 19 19 21 19
20 32 20 19 19 19 19 19 19 29 19 19 19 19 19  9
 9  9  9 19 19 19 19 19 19 19 19 19 19 19 10  9
10 20
end

font2
12 9  22 17 19 19 25 4  33 33 25 35 11 10  6 33
18 10 17 17 17 17 17 15 12 16  5 30 30 30 30 30
12 16 19 16 19 18 18 17 22 11 17 18 18 30 22 19
22 19 19 20 18 19 19 29 19 18 19 19 33 33 10 19
12 14 11 11 16 11 12 14 14 10 13 12 10 19 18 12
16 13 13 11 12 15 12 15 13 12 12 37 33 37 35 37
16 16 16 16 33 17 18 18 18 18 11 11 11 11 19 19
19 19 19 19 19 19 15 14 14 14 14 20 14 11 11 11
11 10 10 10 10 12 12 12 12 15 15 15 15 22 18 21
10 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
19 19 19 19 19 19 19 19 19 19 19 19 19 19 19 19
19 16
end
